Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Extract Name	Protocol REF	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[differential expression analysis data transformation]
TGB_050_01	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_01	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_02	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_02	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_03	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_03	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_04	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_04	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_05	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_05	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_06	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_06	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_07	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_07	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_08	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_08	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_09	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_09	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_10	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_10	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_11	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_11	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_13	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_13	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_15	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_15	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
